Arn,Name,Description,Behavior,Severity,Implementation_Type,Implementation_Identifier,CreateTime
arn:aws:controlcatalog:::control/m7a5gbdf08wg2o0en010mkng,Checks if a recovery point expires no earlier than after the specified period,Checks if a recovery point expires no earlier than after the specified period. The rule is NON_COMPLIANT if the recovery point has a retention point that is less than the required retention period.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,BACKUP_RECOVERY_POINT_MINIMUM_RETENTION_CHECK,2021-07-23 02:00:00+02:00
arn:aws:controlcatalog:::control/4b0nsxnd47747up54ytdqesxi,Require any AWS CodeBuild project environment to have logging configured,This control checks whether AWS CodeBuild projects environment has at least one logging option enabled.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/96myfsh8w79ryxr5oj8wukj3k,Checks if AWS AppConfig configuration profiles have tags,"Checks if AWS AppConfig configuration profiles have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",DETECTIVE,LOW,AWS::Config::ConfigRule,APPCONFIG_CONFIGURATION_PROFILE_TAGGED,2024-10-01 02:00:00+02:00
arn:aws:controlcatalog:::control/7rrde1yjxvdp8hyfina89c07z,ECS containers should run as non-privileged,This control checks if the privileged parameter in the container definition of Amazon ECS task definitions is set to 'true'. This control fails if this parameter is equal to 'true'.,DETECTIVE,HIGH,AWS::SecurityHub::SecurityControl,ECS.4,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/8cclsjiy1o81kfsmzpt85nbjk,Disallow changes to Amazon CloudWatch Logs log groups set up by AWS Control Tower,Prevent deletion and modification of retention policy for Amazon CloudWatch Logs log groups set up by AWS Control Tower.,PREVENTIVE,CRITICAL,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2019-10-14 02:00:00+02:00
arn:aws:controlcatalog:::control/k95i0fpodb7ehw7x9o4pff6u,Checks if Amazon Elastic Container Service (ECS) task definitions have a set memory limit for its container definitions,Checks if Amazon Elastic Container Service (ECS) task definitions have a set memory limit for its container definitions. The rule is NON_COMPLIANT for a task definition if the ‘memory’ parameter is absent for one container definition.,DETECTIVE,MEDIUM,AWS::Config::ConfigRule,ECS_TASK_DEFINITION_MEMORY_HARD_LIMIT,2021-11-18 01:00:00+01:00
arn:aws:controlcatalog:::control/6unff4za5vtu72g08jic7cetr,Require an Amazon RDS database instance to have minor version upgrades configured,This control checks whether automatic minor version upgrades are enabled for an Amazon RDS database instance.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/edrndmzjx677dsswpz8pm7cg7,Require any Amazon ECS task definition to specify a user that is not the root,This control checks whether Amazon Elastic Container Service (ECS) task definitions run as a non-root user within Amazon ECS containers.,PROACTIVE,HIGH,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/6s095tcdtgab75dd0229m5x6n,Require an Amazon OpenSearch Service domain to send error logs to Amazon CloudWatch Logs,This control checks whether Amazon OpenSearch Service domains are configured to send error logs to an Amazon CloudWatch Logs log group.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2023-05-19 02:00:00+02:00
arn:aws:controlcatalog:::control/6zv4hpwg6daqp91fh8ke8xk19,Require an AWS Private CA certificate to have a single domain name,This control checks whether any AWS Certificate Manager (ACM) Private CA certificates have wildcard domain names instead of single domain names.,PROACTIVE,MEDIUM,AWS::CloudFormation::Type::HOOK,,2022-11-28 01:00:00+01:00
arn:aws:controlcatalog:::control/d0dnxm99zg7gfsow9ei70qhea,Require that an AWS KMS customer-managed key (CMK) is configured with key material originating from an external key store (XKS),This control disallows creation of KMS keys that do not have a key origin of 'EXTERNAL_KEY_STORE'.,PREVENTIVE,HIGH,AWS::Organizations::Policy::SERVICE_CONTROL_POLICY,,2023-11-27 01:00:00+01:00
